"Id","Name","Image"
0,"strattera_10mg","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc10/images/79U-YY6M1UUR6F127ZMACIWPEEXHLB.JPG"
1,"strattera_10mg","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc11/images/7WVFV5H74!ELFNQ_GUH92E9ERM9P2K.JPG"
2,"strattera_10mg","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc20/images/B4CH0R9B7PEQ6GORRX-8XWOL-_G7W9_.JPG"
3,"strattera_10mg","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc21/images/B5T5HI5XI8X2HSBJL-TGDHET4YG5C5F.JPG"
4,"strattera_10mg","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc25/images/B8S621VZTSXR4Z4VRHYLTKGCQWIXETR.JPG"
5,"strattera_10mg","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc28/images/BBLLJ1DZIAXWHPZA07ZCZ5!YZPLWVBA.JPG"
6,"strattera_10mg","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc44/images/BR0!XO0KYHN2QNKB-R0OSVWFQF2G7X!.JPG"
7,"strattera_10mg","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc46/images/BSSE1RTL_WV-P1VJTH2PFT6-RR03UAF.JPG"
8,"strattera_10mg","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc66/images/CIGT5HVSPCB8CLSJIC4INJ097O-2!Q0.JPG"
9,"strattera_10mg","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc6/images/35KGT-3C1H7WX3A2Q4!31-4L2TLID.JPG"
10,"strattera_10mg","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc6/images/3FF0SCXQ626WA86PGXROYJ5G5YLP7H.JPG"
11,"strattera_10mg","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc76/images/CRZ-PHXR3OH97ZB9IV6__ROF1US6MSN.JPG"
12,"strattera_10mg","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc76/images/CS4YFI_L_-D9SKLKC!6XPP9W901CELH.JPG"
13,"strattera_10mg","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc37/images/BKMNRTQ6_7JVE3M5_DIU81YSSX!P!HB.JPG"
14,"strattera_10mg","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc52/images/BYDKBIA7YG6M92Z7WNOG9UC9H_4VFSH.JPG"
15,"pantoprazole_20mg_tab","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc18/images/B27FDKRV0W4W9EWN80EOSD8OQCE-BQK.JPG"
16,"pantoprazole_20mg_tab","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc18/images/B2GFUCDIE90XNUJ85_!9SAMMNMK07_Z.JPG"
17,"pantoprazole_20mg_tab","https://data.lhncbc.nlm.nih.gov/public/Pills/PillProjectDisc22/images/B62U1EK0QH3441FF6-8L!HHY2817OI3.JPG"
